City,Exp Type,Amount
"Mahnar Bazar, India",Bills,596956
"Rudrapur, India",Grocery,595662
"Puttur, India",Food,594469
"Sheikhpura, India",Fuel,593450
"Gokak, India",Food,592166
"Pratapgarh, India",Grocery,589895
"Allahabad, India",Grocery,589655
"Guntur, India",Grocery,588899
"Gadwal, India",Bills,588210
"Zira, India",Entertainment,588206
"Nuzvid, India",Entertainment,588064
"Narayanpet, India",Entertainment,587475
"Mokokchung, India",Grocery,587249
"Shahdol, India",Bills,587143
"Pithoragarh, India",Food,586614
"Porbandar, India",Fuel,586251
"Sattenapalle, India",Grocery,585927
"Padrauna, India",Fuel,585670
"Kashipur, India",Entertainment,585180
"Lalitpur, India",Grocery,584614
"Mandla, India",Food,584237
"Rath, India",Fuel,584227
"Periyakulam, India",Bills,583542
"Shimla, India",Food,583232
"Muddebihal, India",Food,582556
"Marmagao, India",Food,582076
"Phulabani, India",Entertainment,581341
"Rajapalayam, India",Grocery,581315
"Kurnool, India",Grocery,580694
"Rampur, India",Bills,580411
"Maner, India",Bills,579133
"Tasgaon, India",Grocery,578861
"Udhampur, India",Entertainment,578769
"Medinipur, India",Bills,578164
"Purulia, India",Fuel,577541
"Zira, India",Bills,577420
"Baramula, India",Grocery,577235
"Puliyankudi, India",Grocery,577121
"Athni, India",Entertainment,576758
"Machilipatnam, India",Fuel,576297
"Bhainsa, India",Food,576124
"Rewari, India",Entertainment,575917
"Mihijam, India",Grocery,575246
"Macherla, India",Bills,574923
"Pratapgarh, India",Food,574419
"Paravoor, India",Fuel,573844
"Bhavnagar, India",Entertainment,572901
"Muvattupuzha, India",Fuel,572496
"Nahan, India",Entertainment,571985
"Yadgir, India",Bills,570936
"Yavatmal, India",Food,569112
"Mandla, India",Grocery,568979
"Patratu, India",Food,568553
"Thana Bhawan, India",Grocery,568151
"Nilambur, India",Food,568041
"Chalakudy, India",Entertainment,567873
"Jagraon, India",Entertainment,566312
"Malpura, India",Entertainment,565708
"Sonepur, India",Fuel,565052
"Pattukkottai, India",Grocery,564640
"Dalli-Rajhara, India",Bills,563366
"Pappinisseri, India",Bills,562902
"Naila Janjgir, India",Entertainment,561557
"Osmanabad, India",Bills,561482
"Mandideep, India",Grocery,560746
"Khambhat, India",Entertainment,560270
"Sivakasi, India",Bills,559890
"Akola, India",Bills,559821
"Modasa, India",Fuel,559135
"Vapi, India",Bills,558438
"Srivilliputhur, India",Entertainment,558209
"Gopalganj, India",Bills,557834
"Talcher, India",Grocery,557031
"Nagapattinam, India",Bills,556451
"Visakhapatnam, India",Fuel,556194
"Kalpi, India",Fuel,556079
"Pulgaon, India",Grocery,555924
"Narkatiaganj, India",Fuel,555905
"Ratangarh, India",Entertainment,555879
"Jind, India",Grocery,554627
"Ramngarh, India",Bills,553740
"Ambejogai, India",Food,552814
"Panipat, India",Fuel,552307
