City,Exp Type,Amount
"Sumerpur, India",Entertainment,248104
"Bhadrak, India",Fuel,248095
"Dhoraji, India",Food,247962
"Khair, India",Grocery,247887
"Kyathampalle, India",Food,247883
"Nadiad, India",Food,247467
"Shrigonda, India",Grocery,247356
"Mahalingapura, India",Food,247165
"Thana Bhawan, India",Food,247083
"Kyathampalle, India",Entertainment,246998
"Khammam, India",Fuel,246978
"Tirunelveli, India",Bills,246975
"Karur, India",Fuel,246770
"Bhubaneswar, India",Food,246728
"Nokha, India",Grocery,246097
"Dhanbad, India",Grocery,245987
"Una, India",Entertainment,245914
"Hajipur, India",Bills,245750
"Nangal, India",Food,245686
"Raipur, India",Entertainment,245537
"Suryapet, India",Fuel,245453
"Ladnu, India",Grocery,245422
"Ajmer, India",Entertainment,245278
"Rajpipla, India",Grocery,245230
"Lakhisarai, India",Bills,245193
"Nilanga, India",Bills,245092
"Medinipur, India",Entertainment,244923
"Farooqnagar, India",Bills,244694
"Bhagalpur, India",Fuel,244504
"Charkhi Dadri, India",Food,244330
"Masaurhi, India",Food,244251
"Jagtial, India",Entertainment,244250
"Athni, India",Bills,244066
"Savner, India",Fuel,243954
"Balurghat, India",Entertainment,243800
"Jorhat, India",Food,243733
"Mysore, India",Grocery,243712
"Raigarh, India",Entertainment,243680
"Siruguppa, India",Fuel,243660
"Araria, India",Food,243630
"Yellandu, India",Entertainment,243269
"Morena, India",Bills,243023
"Amreli, India",Entertainment,243021
"Vyara, India",Fuel,242894
"Sankarankoil, India",Food,242757
"Revelganj, India",Entertainment,242720
"Dimapur, India",Food,242670
"Viluppuram, India",Grocery,242634
"Manendragarh, India",Entertainment,242357
"Sirsa, India",Grocery,242151
"Aurangabad, India",Food,242143
"Sopore, India",Entertainment,242073
"Aurangabad, India",Fuel,241884
"Sambhal, India",Fuel,241617
"Vatakara, India",Food,241606
"Kendrapara, India",Food,241552
"Aizawl, India",Fuel,241529
"Kayamkulam, India",Fuel,241362
"Etawah, India",Grocery,241284
"Tadpatri, India",Bills,241272
"Gooty, India",Entertainment,240983
"Virudhachalam, India",Grocery,240756
"Vadalur, India",Food,240644
"Pollachi, India",Fuel,240440
"Nandivaram-Guduvancheri, India",Food,240435
"Shamsabad Agra, India",Food,240199
"Gudivada, India",Food,240115
"Jehanabad, India",Grocery,239922
"Nagaur, India",Bills,239702
"Thoubal, India",Bills,239676
"Viramgam, India",Grocery,239661
"Shahabad Hardoi, India",Grocery,239419
"Mysore, India",Entertainment,239369
"Suri, India",Grocery,239240
"Musabani, India",Bills,239099
"Saharsa, India",Grocery,239048
"Gudur, India",Bills,239024
"Nandurbar, India",Entertainment,238994
"Malaj Khand, India",Entertainment,238898
"Sirsi, India",Food,238859
"Kochi, India",Grocery,238857
"Munger, India",Fuel,238852
"Panruti, India",Bills,238846
"Tilhar, India",Bills,238763
"Mandvi, India",Fuel,238717
"Raver, India",Bills,238557
"Shrigonda, India",Food,238511
"Gobindgarh, India",Entertainment,238498
"Warangal, India",Entertainment,238413
"Laharpur, India",Fuel,238379
"Baharampur, India",Grocery,238342
"Kothagudem, India",Grocery,238167
"New Delhi, India",Bills,237989
"Bheemunipatnam, India",Entertainment,237873
"Vadalur, India",Entertainment,237783
"Tiruvannamalai, India",Grocery,237615
"Khammam, India",Bills,237602
"Zamania, India",Grocery,237407
"Ujhani, India",Food,237394
"Virudhunagar, India",Food,237361
"Jorhat, India",Grocery,236718
"Kollam, India",Bills,236602
"Yanam, India",Fuel,236579
"Panaji, India",Bills,236571
"Tiruppur, India",Grocery,236460
"Amalapuram, India",Bills,236438
"Balangir, India",Food,236346
"Rayadurg, India",Entertainment,236241
"Renukoot, India",Fuel,236184
"Shirdi, India",Bills,236054
"Wadi, India",Fuel,235850
"Nepanagar, India",Food,235763
"Shahabad Hardoi, India",Fuel,235757
"Pathanamthitta, India",Grocery,235752
"Savarkundla, India",Entertainment,235715
"Firozpur, India",Grocery,235609
"Amalner, India",Bills,235521
"Mahnar Bazar, India",Entertainment,235491
"Saharsa, India",Entertainment,235428
"Arakkonam, India",Bills,235338
"Bokaro Steel City, India",Entertainment,235325
"Pudukkottai, India",Food,234682
"Mainaguri, India",Entertainment,234579
"Hazaribag, India",Fuel,234488
"Safidon, India",Bills,234455
"Manmad, India",Grocery,234400
"Bodhan, India",Entertainment,234323
"Samana, India",Bills,234256
"Thane, India",Food,233975
"Umarga, India",Food,233967
"Bhadrachalam, India",Food,233955
"Indore, India",Bills,233763
"Cherthala, India",Fuel,233704
"Renukoot, India",Bills,233634
"Sohna, India",Bills,233499
"Visakhapatnam, India",Bills,233023
"Sedam, India",Fuel,232971
"Paravoor, India",Entertainment,232914
"Anakapalle, India",Grocery,232618
"Suratgarh, India",Grocery,232602
"Nagercoil, India",Grocery,232497
"Bhimavaram, India",Bills,232488
"Sheopur, India",Fuel,232425
"Mahuva, India",Entertainment,232414
"Mhow Cantonment, India",Food,232168
"Usilampatti, India",Grocery,232043
"Vadalur, India",Fuel,231814
"Kodungallur, India",Entertainment,231801
"Anantnag, India",Grocery,231604
"Sadabad, India",Entertainment,231554
"Nadbai, India",Grocery,231524
"Dhule, India",Grocery,231509
"Ramngarh, India",Food,231450
"Malpura, India",Food,231322
"Haldwani-Cum-Kathgodam, India",Entertainment,231252
"Nagarkurnool, India",Fuel,231232
"Sarangpur, India",Entertainment,231202
"Mattannur, India",Entertainment,231062
"Phaltan, India",Food,231048
"Giridih, India",Fuel,231048
"Nandura, India",Bills,231015
"Mapusa, India",Food,230951
"Vinukonda, India",Entertainment,230809
"Kavali, India",Grocery,230665
"Kurnool, India",Entertainment,230636
"Dehradun, India",Fuel,230540
"Alipurduar, India",Fuel,230489
"Anjangaon, India",Fuel,230484
"Munger, India",Bills,230329
"Faridabad, India",Grocery,230037
"Raurkela, India",Grocery,229943
"Asansol, India",Grocery,229834
"Lahar, India",Fuel,229807
"Mandi Dabwali, India",Entertainment,229392
"Karwar, India",Bills,229327
"Pandharpur, India",Entertainment,228924
"Anantapur, India",Fuel,228790
"Koratla, India",Food,228685
"Lonavla, India",Entertainment,228527
"Madikeri, India",Grocery,228437
"Tandur, India",Grocery,228237
"Thuraiyur, India",Food,228130
"Bankura, India",Food,228038
"Diphu, India",Food,227827
"Thiruvananthapuram, India",Entertainment,227784
"Unnao, India",Entertainment,227655
"Dharmanagar, India",Food,227425
"Thuraiyur, India",Entertainment,227260
"Dhanbad, India",Food,227243
"Firozpur Cantt., India",Fuel,227165
"Satara, India",Fuel,227075
"Kanhangad, India",Food,227071
"Mhow Cantonment, India",Fuel,226960
"Mahe, India",Bills,226939
"Khambhat, India",Food,226858
"Porsa, India",Entertainment,226837
"Bhilwara, India",Grocery,226672
"Adityapur, India",Entertainment,226592
"Merta City, India",Entertainment,226583
"Rampurhat, India",Bills,226449
"Thanjavur, India",Entertainment,226369
"Sikandra Rao, India",Bills,226318
"Tanuku, India",Bills,226270
"Sadabad, India",Bills,226270
"Shahdol, India",Fuel,225932
"Phagwara, India",Food,225604
"Sawai Madhopur, India",Bills,225186
"Kharagpur, India",Fuel,225142
"Bodhan, India",Bills,224958
"Robertson Pet, India",Fuel,224956
"Shivamogga, India",Fuel,224659
"Jorhat, India",Fuel,224657
"Pandhurna, India",Food,224464
"Warangal, India",Fuel,224393
"Tohana, India",Food,224387
"Bagaha, India",Entertainment,224207
"Barpeta, India",Food,224158
"Mangrol, India",Fuel,223998
"Alwar, India",Entertainment,223936
"Medak, India",Entertainment,223837
"Itarsi, India",Food,223757
"Shirdi, India",Fuel,223706
"Kot Kapura, India",Grocery,223668
"Rupnagar, India",Grocery,223647
"Port Blair, India",Bills,223610
"Tiruvuru, India",Fuel,223454
"Parli, India",Bills,223344
"Vasai-Virar, India",Bills,223214
"Navsari, India",Food,223204
"Ponnani, India",Bills,223130
"Upleta, India",Entertainment,222874
"Pen, India",Entertainment,222759
"Tohana, India",Entertainment,222751
"Sasvad, India",Food,222574
"Peringathur, India",Entertainment,222498
"Salur, India",Grocery,222490
"Sujangarh, India",Fuel,222340
"Kovvur, India",Fuel,222214
"Raghogarh-Vijaypur, India",Food,221574
"Mangrulpir, India",Entertainment,221413
"Uthamapalayam, India",Food,221154
"Mundi, India",Entertainment,221085
"Sambalpur, India",Food,220708
"Srikalahasti, India",Bills,220702
"Warangal, India",Food,220539
"Rameshwaram, India",Bills,220402
"Shahade, India",Bills,220278
"Manjlegaon, India",Entertainment,220166
"Tharamangalam, India",Entertainment,220103
"Medininagar (Daltonganj), India",Entertainment,220103
"Araria, India",Bills,220102
"Shahpura, India",Food,220079
"Morshi, India",Grocery,220062
"Paschim Punropara, India",Food,219925
"Talikota, India",Grocery,219887
"Thiruvallur, India",Grocery,219764
"Jamshedpur, India",Grocery,219550
"Fatehabad, India",Food,219509
"Sujangarh, India",Bills,219435
"Fatehabad, India",Fuel,219311
"Aizawl, India",Entertainment,219299
"Pali, India",Food,219117
"Bharatpur, India",Entertainment,219062
"Shahabad Hardoi, India",Bills,219058
"Pipar City, India",Fuel,219055
"Chatra, India",Food,218946
"English Bazar, India",Grocery,218823
"Neyyattinkara, India",Bills,218766
"Jalpaiguri, India",Bills,218074
"Kunnamkulam, India",Bills,218062
"Muzaffarpur, India",Bills,218014
"Rudauli, India",Grocery,217881
"Chandausi, India",Food,217725
"Najibabad, India",Bills,217573
"Raigarh, India",Fuel,217372
"Dehri-On-Sone, India",Fuel,217356
"Vedaranyam, India",Entertainment,216710
"Raipur, India",Fuel,216650
"Bhagalpur, India",Bills,216540
"Suratgarh, India",Entertainment,216482
"Kunnamkulam, India",Grocery,216428
"Nandyal, India",Entertainment,216313
"Rajakhera, India",Food,216242
"Pasan, India",Fuel,216222
"Palakkad, India",Grocery,216178
"Sonamukhi, India",Grocery,216062
"Shahbad, India",Bills,215899
"Karimganj, India",Bills,215780
"Sholingur, India",Grocery,215604
"Palia Kalan, India",Fuel,215526
"Partur, India",Entertainment,215390
"Mangrulpir, India",Food,215351
"Shahabad, India",Food,215340
"Raxaul Bazar, India",Food,215236
"Sawai Madhopur, India",Fuel,215148
"Bhiwandi, India",Grocery,215061
"Proddatur, India",Bills,215046
"Dumka, India",Food,214565
"Saundatti-Yellamma, India",Food,214515
"Pithapuram, India",Fuel,214505
"Bellampalle, India",Food,214490
"Nidadavole, India",Entertainment,214314
"Musabani, India",Food,214042
"Umarga, India",Bills,213921
"Perambalur, India",Grocery,213624
"Palghar, India",Entertainment,213498
"Mankachar, India",Food,213396
"Shivpuri, India",Bills,213394
"Utraula, India",Bills,213289
"Chittur-Thathamangalam, India",Food,213274
"Talegaon Dabhade, India",Grocery,213251
"Dehri-On-Sone, India",Food,213138
"Padrauna, India",Bills,213026
"Jhumri Tilaiya, India",Grocery,212877
"Sironj, India",Bills,212805
"Phagwara, India",Grocery,212791
"Varkala, India",Food,212675
"Pratapgarh, India",Entertainment,212550
"Shoranur, India",Entertainment,212460
"Nahan, India",Bills,212438
"Narsinghgarh, India",Food,212106
"Jammu, India",Bills,212101
"Sanawad, India",Bills,212050
"Alappuzha, India",Fuel,211975
"Tikamgarh, India",Fuel,211962
"Rajsamand, India",Bills,211594
"Orai, India",Fuel,211487
"Sidlaghatta, India",Fuel,211454
"Sunabeda, India",Grocery,211414
"Jangaon, India",Entertainment,211191
"Ranibennur, India",Entertainment,211137
"Tiruvuru, India",Entertainment,211133
"Sadabad, India",Grocery,211116
"Arwal, India",Fuel,211109
"Amalner, India",Food,210950
"Sultanganj, India",Grocery,210933
"Tezpur, India",Food,210839
"Sojat, India",Grocery,210830
"Tekkalakote, India",Food,210758
"Fatehpur Sikri, India",Food,210711
"Bhatapara, India",Bills,210437
"Patiala, India",Grocery,210403
"Rampura Phul, India",Food,210269
"Shivamogga, India",Bills,210207
"Ajmer, India",Bills,210185
"Kottayam, India",Food,210162
"Uravakonda, India",Bills,209930
"Mahnar Bazar, India",Food,209874
"Jagraon, India",Food,209805
"Tuljapur, India",Food,209791
"Nathdwara, India",Entertainment,209674
"Keshod, India",Bills,209665
"Deesa, India",Entertainment,209664
"Jangaon, India",Fuel,209594
"Medinipur, India",Food,209396
"Vedaranyam, India",Bills,209348
"Raisinghnagar, India",Fuel,209216
"Dhanbad, India",Fuel,209161
"Indore, India",Food,208682
"Karwar, India",Fuel,208647
"Ashok Nagar, India",Fuel,208606
"Parvathipuram, India",Grocery,208533
"Tenali, India",Food,208488
"Pulgaon, India",Entertainment,208435
"Rajkot, India",Grocery,208329
"Noida, India",Fuel,208170
"Mahalingapura, India",Bills,208155
"Nidadavole, India",Food,208072
"Khanna, India",Bills,207948
"Kadi, India",Entertainment,207789
"Anjar, India",Food,207628
"Kovvur, India",Bills,207588
"Lonavla, India",Food,207574
"Nawapur, India",Food,207523
"Shikaripur, India",Grocery,207468
"Sojat, India",Fuel,207363
"Brahmapur, India",Grocery,207295
"Sambalpur, India",Fuel,207211
"Nagercoil, India",Entertainment,207174
"Mohali, India",Bills,207011
"Murwara (Katni), India",Grocery,206940
"Samana, India",Entertainment,206802
"Ambikapur, India",Fuel,206776
"Shikarpur Bulandshahr, India",Fuel,206550
"Ranaghat, India",Bills,206404
"Nangal, India",Bills,206377
"Raghogarh-Vijaypur, India",Entertainment,206326
"Murwara (Katni), India",Food,206324
"Tonk, India",Bills,206164
"Tiruchirappalli, India",Fuel,205931
"Nakodar, India",Fuel,205582
"Rajampet, India",Food,205225
"Simdega, India",Fuel,205097
"Saharanpur, India",Entertainment,205074
"Narasapuram, India",Entertainment,204959
"Anantnag, India",Food,204877
"Bahadurgarh, India",Grocery,204794
"Punalur, India",Food,204733
"Goalpara, India",Grocery,204556
"Makhdumpur, India",Food,204511
"Siana, India",Bills,204167
"Pollachi, India",Entertainment,203900
"Pollachi, India",Bills,203719
"Vatakara, India",Bills,203521
"Kathua, India",Bills,203454
"Cherthala, India",Grocery,203426
"Palakkad, India",Bills,203036
"Peringathur, India",Fuel,202977
"Gumia, India",Entertainment,202899
"Musabani, India",Fuel,202808
"Kunnamkulam, India",Food,202727
"Davanagere, India",Entertainment,202561
"Sirsaganj, India",Fuel,202551
"Vadakkuvalliyur, India",Grocery,202465
"Ongole, India",Food,202432
"Pollachi, India",Food,202384
"Madikeri, India",Food,202299
"Kayamkulam, India",Bills,201973
"Sihora, India",Bills,201968
"Hubli-Dharwad, India",Food,201959
"Sircilla, India",Fuel,201862
"Nirmal, India",Entertainment,201810
"Mathura, India",Grocery,201782
"Warisaliganj, India",Entertainment,201761
"Osmanabad, India",Grocery,201683
"Mudhol, India",Bills,201612
"Mandapeta, India",Entertainment,201594
"Tirukkoyilur, India",Grocery,201372
"Sangaria, India",Bills,201228
"Shikarpur Bulandshahr, India",Grocery,200939
"Naila Janjgir, India",Grocery,200852
"Kalpi, India",Food,200776
"Manwath, India",Fuel,200771
"Seohara, India",Fuel,200632
"Raver, India",Fuel,200518
"Shujalpur, India",Entertainment,200510
"Hindupur, India",Fuel,200464
"Alappuzha, India",Grocery,200448
"Dhuri, India",Food,200373
"Uthamapalayam, India",Grocery,200152
"Sindhagi, India",Food,200112
"Phusro, India",Food,199865
"Ratnagiri, India",Fuel,199825
"Jehanabad, India",Food,199758
"Pandharkaoda, India",Fuel,199667
"Varkala, India",Grocery,199200
"Sonipat, India",Grocery,199157
"Taki, India",Entertainment,199043
"Uran, India",Grocery,198889
"Mathura, India",Entertainment,198888
"Sankeshwara, India",Food,198622
"Kancheepuram, India",Entertainment,198593
"Nellore, India",Grocery,198455
"Rajsamand, India",Fuel,198344
"Bhiwandi, India",Food,198328
"Mandvi, India",Bills,198254
"Nellore, India",Fuel,198141
"Nabadwip, India",Grocery,197970
"Sankarankoil, India",Fuel,197840
"Paschim Punropara, India",Grocery,197826
"Raxaul Bazar, India",Fuel,197753
"Sivakasi, India",Grocery,197718
"Mokameh, India",Entertainment,197687
"Vizianagaram, India",Bills,197453
"Ramnagar, India",Entertainment,197212
"Malkapur, India",Bills,197148
"Ranchi, India",Entertainment,197033
"Afzalpur, India",Bills,196878
"Tinsukia, India",Grocery,196007
"Anjangaon, India",Bills,195839
"Umreth, India",Entertainment,195697
"Guwahati, India",Food,195631
"Thana Bhawan, India",Fuel,195630
"Vinukonda, India",Fuel,195597
"Madhupur, India",Food,195126
"Padra, India",Bills,195084
"Jammalamadugu, India",Food,195031
"Petlad, India",Fuel,195017
"Tiruppur, India",Bills,194787
"Mavelikkara, India",Fuel,194653
"Ranebennuru, India",Food,194570
"Moga, India",Fuel,194483
"Kanhangad, India",Bills,194385
"Wadhwan, India",Bills,194091
"Karaikal, India",Bills,194036
"Pinjore, India",Grocery,194010
"Sangole, India",Bills,193976
"Tundla, India",Food,193894
"Pappinisseri, India",Entertainment,193606
"Rupnagar, India",Food,193528
"Davanagere, India",Grocery,193398
"Manjlegaon, India",Bills,193308
"Dhanbad, India",Bills,193173
"Namakkal, India",Bills,193155
"Tirukkoyilur, India",Fuel,193130
"Pathanamthitta, India",Bills,193122
"Ramachandrapuram, India",Grocery,192701
"Memari, India",Fuel,192420
"Perinthalmanna, India",Bills,192392
"Alipurduar, India",Bills,192358
"Salaya, India",Grocery,192194
"Pilani, India",Entertainment,192182
"Diphu, India",Fuel,192177
"Wai, India",Fuel,191845
"Punch, India",Fuel,191779
"Shegaon, India",Food,191762
"Tirupati, India",Fuel,191754
"Naila Janjgir, India",Food,191725
"Rohtak, India",Fuel,191576
"Raxaul Bazar, India",Bills,191566
"Palwal, India",Food,191409
"Veraval, India",Entertainment,191384
"Revelganj, India",Food,191331
"Kapurthala, India",Entertainment,191272
"Parlakhemundi, India",Bills,191251
"Bhimavaram, India",Entertainment,191135
"Ramgarh, India",Fuel,191085
"Tiruchendur, India",Food,191022
"Santipur, India",Entertainment,191016
"Sagar, India",Bills,190999
"Bikaner, India",Food,190845
"Nidadavole, India",Bills,190740
"Nawabganj, India",Fuel,190713
"Modasa, India",Bills,190640
"Ongole, India",Entertainment,190417
"Margao, India",Food,190248
"Tuljapur, India",Fuel,190239
"Shahdol, India",Entertainment,190237
"Panchkula, India",Grocery,189693
"Patan, India",Entertainment,189648
"Sardhana, India",Food,189648
"Rajpipla, India",Bills,189449
"Ramanagaram, India",Bills,189261
"Sagar, India",Food,189214
"Neem-Ka-Thana, India",Entertainment,189204
"Mandi, India",Entertainment,189096
"Nandyal, India",Fuel,189055
"Kothagudem, India",Fuel,188980
"Sedam, India",Entertainment,188819
"Wokha, India",Entertainment,188268
"Tura, India",Fuel,188254
"Barnala, India",Fuel,188207
"Tirupati, India",Grocery,188037
"Markapur, India",Food,187847
"Parlakhemundi, India",Entertainment,187691
"Malout, India",Food,187686
"Ottappalam, India",Entertainment,187612
"Bargarh, India",Entertainment,187593
"Siruguppa, India",Bills,187342
"Srinagar, India",Fuel,186999
"Rajakhera, India",Bills,186932
"Vandavasi, India",Grocery,186846
"Shrigonda, India",Fuel,186758
"Vadnagar, India",Bills,186702
"Renukoot, India",Grocery,186218
"Pandhurna, India",Fuel,186020
"Wai, India",Grocery,185938
"Sadulpur, India",Entertainment,185772
"Erode, India",Grocery,185589
"Sagara, India",Entertainment,185256
"Rudauli, India",Fuel,185229
"Paschim Punropara, India",Bills,185074
"Sanduru, India",Bills,184975
"Tiruchirappalli, India",Food,184886
"Tirukkoyilur, India",Food,184497
"Mapusa, India",Fuel,184234
"Pachora, India",Entertainment,184097
"Kendujhar, India",Grocery,184078
"Palitana, India",Entertainment,184032
"Jabalpur, India",Grocery,183972
"Port Blair, India",Food,183943
"Navi Mumbai, India",Fuel,183390
"Karnal, India",Entertainment,183341
"Ramdurg, India",Fuel,183297
"Afzalpur, India",Entertainment,183142
"Tiruppur, India",Fuel,182948
"Kalimpong, India",Food,182762
"Nehtaur, India",Grocery,182728
"Makhdumpur, India",Entertainment,182619
"Srivilliputhur, India",Fuel,182554
"Visakhapatnam, India",Food,182336
"Jalpaiguri, India",Food,182290
"Rosera, India",Entertainment,182133
"Dimapur, India",Grocery,182010
"Bellampalle, India",Grocery,181960
"Karimganj, India",Entertainment,181911
"Phalodi, India",Food,181860
"Kishanganj, India",Food,181613
"Madurai, India",Bills,181541
"Kot Kapura, India",Entertainment,181531
"Ludhiana, India",Grocery,181526
"Uran Islampur, India",Entertainment,181513
"Nawanshahr, India",Bills,181344
"Nawapur, India",Entertainment,181286
"Perumbavoor, India",Grocery,181262
"Bargarh, India",Grocery,181248
"Nawanshahr, India",Grocery,181228
"Pinjore, India",Food,181201
"Sahaswan, India",Entertainment,181146
"Ahmednagar, India",Fuel,181093
"Phulabani, India",Bills,180834
"Chandausi, India",Fuel,180756
"Haldwani-Cum-Kathgodam, India",Fuel,180749
"Pattukkottai, India",Bills,180636
"Adityapur, India",Grocery,180339
"Shahabad Hardoi, India",Entertainment,180323
"Nargund, India",Fuel,179688
"Anjar, India",Grocery,179660
"Wankaner, India",Food,179656
"Mainaguri, India",Bills,179649
"Noorpur, India",Bills,179234
"Mandla, India",Bills,179102
"Dalli-Rajhara, India",Food,179072
"Renukoot, India",Food,178999
"Aizawl, India",Grocery,178869
"Saundatti-Yellamma, India",Bills,178816
"Gudivada, India",Entertainment,178754
"Shahjahanpur, India",Food,178746
"Nashik, India",Grocery,178714
"Nagari, India",Fuel,178619
"Yadgir, India",Food,178507
"Mansa, India",Bills,178324
"Nainital, India",Food,178276
"Nawanshahr, India",Entertainment,178266
"Tenkasi, India",Fuel,178202
"Samastipur, India",Fuel,177912
"Khambhat, India",Grocery,177904
"Vadakkuvalliyur, India",Bills,177747
"Lonavla, India",Bills,177526
"Nongstoin, India",Entertainment,177453
"Punch, India",Entertainment,177425
"Tanda, India",Entertainment,177373
"Kalyan-Dombivali, India",Grocery,177339
"Panvel, India",Fuel,177134
"Savanur, India",Fuel,176795
"Visnagar, India",Entertainment,176745
"Mandsaur, India",Fuel,176620
"Kagaznagar, India",Bills,176487
"Raigarh, India",Food,176336
"Shamli, India",Fuel,176282
"Port Blair, India",Entertainment,176281
"Gurdaspur, India",Entertainment,175860
"Tumsar, India",Entertainment,175856
"Sattur, India",Food,175788
"Perinthalmanna, India",Food,175658
"Zirakpur, India",Food,175566
"Tuni, India",Bills,175557
"Kadiri, India",Fuel,175547
"Talode, India",Grocery,175315
"Pinjore, India",Bills,175253
"Vaniyambadi, India",Grocery,175194
"Talaja, India",Grocery,175172
"Jharsuguda, India",Fuel,175145
"Manjlegaon, India",Fuel,174645
"Palacole, India",Entertainment,174615
"Khair, India",Fuel,174547
"Lalsot, India",Fuel,174371
"Surandai, India",Food,174101
"Viluppuram, India",Bills,173810
"Pilibhit, India",Fuel,173775
"Sambhal, India",Bills,173683
"Darbhanga, India",Entertainment,173640
"Ganjbasoda, India",Grocery,173511
"Warisaliganj, India",Grocery,173497
"Malkapur, India",Fuel,173460
"Thakurdwara, India",Entertainment,173349
"Kohima, India",Fuel,173319
"Nongstoin, India",Fuel,173134
"Phagwara, India",Bills,173017
"Sheikhpura, India",Food,172984
"Narsipatnam, India",Food,172905
"Jagraon, India",Fuel,172843
"Supaul, India",Fuel,172821
"Anand, India",Grocery,172712
"Washim, India",Food,172707
"Shrirampur, India",Bills,172635
"Anand, India",Bills,172489
"Kochi, India",Fuel,172477
"Hapur, India",Grocery,172465
"Muktsar, India",Food,172426
"Nuzvid, India",Food,172286
"Wokha, India",Food,172193
"Pondicherry, India",Food,172156
"Hugli-Chinsurah, India",Food,171822
"Zaidpur, India",Bills,171719
"Vikarabad, India",Food,171591
"Tadpatri, India",Entertainment,171532
"Thangadh, India",Fuel,171434
"Nohar, India",Grocery,171199
"Raver, India",Grocery,170600
"Baramula, India",Bills,170596
"Raigarh, India",Bills,170567
"Ottappalam, India",Bills,170508
"Vaijapur, India",Bills,170209
"Sikar, India",Fuel,169993
"Naugawan Sadat, India",Entertainment,169832
"Baleshwar Town, India",Food,169680
"Vrindavan, India",Food,169673
"Cherthala, India",Food,169669
"Mavelikkara, India",Grocery,169648
"Chirala, India",Fuel,169300
"Sillod, India",Bills,169203
"Shahabad, India",Fuel,169122
"Byasanagar, India",Entertainment,168838
"Thiruvallur, India",Fuel,168814
"Shahabad Rampur, India",Entertainment,168337
"Pachora, India",Grocery,168298
"Panaji, India",Food,168290
"Seoni-Malwa, India",Bills,168288
"Sillod, India",Grocery,168229
"Malpura, India",Grocery,168132
"Ramdurg, India",Bills,167852
"Rajula, India",Bills,167782
"Revelganj, India",Grocery,167682
"Ponnur, India",Food,167546
"Narayanpet, India",Bills,167332
"Rewari, India",Food,167284
"Mokokchung, India",Fuel,167197
"Chittoor, India",Entertainment,167195
"Sonamukhi, India",Food,166838
"Sidlaghatta, India",Food,166811
"Mansa, India",Grocery,166766
"Alirajpur, India",Entertainment,166684
"Korba, India",Food,166533
"Saundatti-Yellamma, India",Fuel,166499
"Sattur, India",Fuel,166465
"Sehore, India",Food,166265
"Rosera, India",Bills,166052
"Shahade, India",Fuel,165729
"Ambikapur, India",Entertainment,165574
"Shahade, India",Food,165311
"Kakinada, India",Fuel,165299
"Katihar, India",Grocery,165188
"Sumerpur, India",Grocery,165116
"Farooqnagar, India",Grocery,164870
"Pandua, India",Food,164827
"Kamareddy, India",Grocery,164604
"Unjha, India",Entertainment,164370
"Allahabad, India",Entertainment,164369
"Chilakaluripet, India",Entertainment,164363
"Ranchi, India",Fuel,164352
"Kothagudem, India",Bills,163997
"Vadakkuvalliyur, India",Entertainment,163953
"Satna, India",Bills,163832
"Mokameh, India",Bills,163787
"Hindupur, India",Food,163656
"Ramdurg, India",Food,163612
"Nagpur, India",Bills,163384
"Uchgaon, India",Food,163246
"Ranavav, India",Grocery,163118
"Shujalpur, India",Fuel,163115
"Hardwar, India",Bills,163082
"Bhilai Nagar, India",Grocery,163034
"Lakheri, India",Bills,163010
"Kharagpur, India",Food,162908
"Udupi, India",Entertainment,162898
"Nawapur, India",Bills,162852
"Chirkunda, India",Entertainment,162649
"Rajnandgaon, India",Grocery,162575
"Titlagarh, India",Entertainment,162537
"Forbesganj, India",Food,162395
"Udumalaipettai, India",Bills,162284
"Thiruvallur, India",Entertainment,162277
"Ashok Nagar, India",Food,161925
"Sattur, India",Entertainment,161856
"Samalkot, India",Food,161502
"Hoshiarpur, India",Grocery,161392
"Balangir, India",Grocery,161224
"Una, India",Grocery,161180
"Hansi, India",Grocery,161122
"Pipariya, India",Entertainment,161119
"Sinnar, India",Grocery,160462
"Raisinghnagar, India",Food,160086
"Simdega, India",Entertainment,159910
"Rajgir, India",Grocery,159850
"Chirmiri, India",Entertainment,159835
"Sardarshahar, India",Grocery,159810
"Jehanabad, India",Bills,159676
"Bhuj, India",Fuel,159589
"Goalpara, India",Entertainment,159335
"Malerkotla, India",Entertainment,159270
"Viluppuram, India",Food,159268
"Wadgaon Road, India",Grocery,159257
"Perambalur, India",Food,158992
"Ramanagaram, India",Fuel,158601
"Nagina, India",Grocery,158528
"Mahemdabad, India",Grocery,158439
"Madhugiri, India",Food,158361
"Namakkal, India",Food,158297
"Rajkot, India",Entertainment,158102
"Yamunanagar, India",Grocery,158003
"Baripada Town, India",Entertainment,157977
"Mandideep, India",Bills,157350
"Bhavnagar, India",Food,157114
"Muvattupuzha, India",Grocery,157081
"Mihijam, India",Fuel,156857
"Modasa, India",Food,156854
"Afzalpur, India",Grocery,156617
"Etawah, India",Bills,156591
"Shikohabad, India",Entertainment,156485
"Ambejogai, India",Entertainment,156433
"Malerkotla, India",Food,156422
"Mavelikkara, India",Entertainment,156388
"Naihati, India",Bills,156284
"Agra, India",Bills,156141
"Malavalli, India",Grocery,155977
"Tilhar, India",Grocery,155934
"Sikandra Rao, India",Entertainment,155789
"Seoni-Malwa, India",Grocery,155569
"Pilibanga, India",Fuel,155294
"Chaibasa, India",Entertainment,155263
"Pavagada, India",Food,155215
